dataset,best_srs,median_srs,worst_srs,best_arrs,median_arrs,worst_arrs
1,879,1741,2788,182,299,382
2,2562,3159,3597,1477,1681,1929
3,2191,2758,3103,1268,1401,1614
4,2528,3253,3659,1550,1591,2029
5,2753,3423,4376,2795,3541,4103
6,3492,4133,4465,2040,2154,2357
7,4407,5618,6630,2702,2827,3149
8,3176,3762,4709,1562,1574,1682
9,2266,3124,4626,1452,1503,1613
10,3884,4188,5301,2129,2280,2523
11,660,1189,1790,184,310,510
12,2146,2392,2708,1732,2031,2331
13,3309,3885,4290,1798,1882,2126
14,2663,2977,3713,1488,1563,1711
15,2191,2758,3103,1310,1383,1536
16,3252,4173,4402,2179,2318,2444
17,3150,4061,4635,1791,1820,1968
18,653,878,1058,516,542,567
19,2135,3004,3559,1287,1428,1747
20,4688,5212,5780,2845,3055,3454
21,3414,3726,4813,1976,2016,2215
